sample_id,system,split,language,mixture_type,noise_type,noise_category,is_impulsive,target_snr,actual_snr,clean_path,noisy_path,enhanced_path,si_snr_noisy,si_snr_enhanced,si_snr_improvement,si_sdr_noisy,si_sdr_enhanced,si_sdr_improvement,stoi_noisy,stoi_enhanced,stoi_improvement,estoi_noisy,estoi_enhanced,estoi_improvement,pesq_noisy,pesq_enhanced,pesq_improvement,dnsmos_sig_noisy,dnsmos_bak_noisy,dnsmos_ovrl_noisy,dnsmos_sig_enhanced,dnsmos_bak_enhanced,dnsmos_ovrl_enhanced,peak_attenuation_db_mean,residual_energy_ratio_mean,iisrt_mean_ms,rsdd_mean_ms
IG_024324,Impulse Guard,test,unknown,two_normal_plus_impulse,drone+musan+impulsive,drone+musan+impulsive,True,10.0,,data/mixtures/test/clean/IG_024324.wav,data/mixtures/test/noisy/IG_024324.wav,data/enhanced/test/IG_024324.wav,-12.446062088012695,-9.209827423095703,3.236234664916992,-12.446062088012695,-9.209827423095703,3.236234664916992,0.3606450481151901,0.3128107901712055,-0.047834257943984604,0.08507679594434701,0.11880511465807737,0.03372831871373036,,,,3.414066791534424,4.7802839279174805,3.8971755504608154,3.6660778522491455,4.75466251373291,4.010370254516602,9.832022666931152,0.01807326078414917,,
IG_024325,Impulse Guard,test,unknown,two_normal_plus_impulse,non_stationary+stationary+impulsive,engine_idling+siren+impulsive,True,15.0,,data/mixtures/test/clean/IG_024325.wav,data/mixtures/test/noisy/IG_024325.wav,data/enhanced/test/IG_024325.wav,13.923383712768555,12.544541358947754,-1.3788423538208008,13.923383712768555,12.544541358947754,-1.3788423538208008,0.9690801361731564,0.9733368567701727,0.004256720597016317,0.8368883468405288,0.8850432678193078,0.04815492097877894,,,,3.4844064712524414,4.725297451019287,3.9048516750335693,3.5323739051818848,4.799212455749512,3.9657933712005615,14.345555305480957,0.10543863475322723,,
IG_024326,Impulse Guard,test,unknown,two_normal_plus_impulse,non_stationary+impulsive,wind+impulsive,True,15.0,,data/mixtures/test/clean/IG_024326.wav,data/mixtures/test/noisy/IG_024326.wav,data/enhanced/test/IG_024326.wav,-9.992490768432617,-1.4600510597229004,8.532439708709717,-9.992491722106934,-1.4600510597229004,8.532440662384033,0.5759049835233988,0.6084206041606749,0.03251562063727609,0.46620868654212844,0.5029905303264199,0.0367818437842915,,,,3.9682435989379883,4.7934346199035645,4.180839538574219,3.80997371673584,4.787422180175781,4.098698139190674,11.708213806152344,0.014519725926220417,,
IG_024327,Impulse Guard,test,unknown,normal_noise,stationary,engine_idling,False,10.0,9.999999046325684,data/mixtures/test/clean/IG_024327.wav,data/mixtures/test/noisy/IG_024327.wav,data/enhanced/test/IG_024327.wav,9.994277954101562,10.898139953613281,0.9038619995117188,9.994277954101562,10.898140907287598,0.9038629531860352,0.8082956731899396,0.8462952659494333,0.03799959275949372,0.6229353975749865,0.6785443877221121,0.055608990147125614,,,,3.587804079055786,4.547350883483887,3.867577314376831,3.858086347579956,4.795578479766846,4.126832485198975,,,,
IG_024328,Impulse Guard,test,unknown,normal_plus_impulse,non_stationary+impulsive,siren+impulsive,True,0.0,,data/mixtures/test/clean/IG_024328.wav,data/mixtures/test/noisy/IG_024328.wav,data/enhanced/test/IG_024328.wav,-14.34719181060791,-4.894798278808594,9.452393531799316,-14.34719181060791,-4.894798278808594,9.452393531799316,0.7244260312242996,0.804463160300819,0.08003712907651939,0.4566376517376923,0.578275756989431,0.12163810525173874,,,,3.7606589794158936,4.151864051818848,3.7562615871429443,3.680906057357788,4.796450614929199,4.0386786460876465,11.414408683776855,0.13647490739822388,760.0,290.0
IG_024329,Impulse Guard,test,unknown,normal_noise,non_stationary,wind,False,-5.0,-5.0,data/mixtures/test/clean/IG_024329.wav,data/mixtures/test/noisy/IG_024329.wav,data/enhanced/test/IG_024329.wav,-5.021567344665527,3.7983131408691406,8.819880485534668,-5.021566867828369,3.7983126640319824,8.819879531860352,0.7856801852261897,0.838950301485518,0.053270116259328315,0.3917009829659355,0.5103370470690681,0.11863606410313265,,,,4.063450336456299,4.1567230224609375,3.9100863933563232,3.7379424571990967,4.772857666015625,4.055400371551514,,,,
IG_024330,Impulse Guard,test,unknown,normal_plus_impulse,musan+impulsive,musan+impulsive,True,5.0,,data/mixtures/test/clean/IG_024330.wav,data/mixtures/test/noisy/IG_024330.wav,data/enhanced/test/IG_024330.wav,-15.691595077514648,-10.643291473388672,5.048303604125977,-15.691595077514648,-10.643291473388672,5.048303604125977,0.42543617115368043,0.42106071239104786,-0.004375458762632567,0.14917333932461288,0.20637438789440718,0.0572010485697943,,,,3.6406381130218506,4.7352800369262695,3.987959146499634,3.5336146354675293,4.532321929931641,3.8329684734344482,13.006020545959473,0.011046744883060455,150.0,80.0
IG_024331,Impulse Guard,test,unknown,normal_plus_impulse,musan+impulsive,musan+impulsive,True,15.0,,data/mixtures/test/clean/IG_024331.wav,data/mixtures/test/noisy/IG_024331.wav,data/enhanced/test/IG_024331.wav,-3.4621002674102783,4.986682891845703,8.448783159255981,-3.4621009826660156,4.986682891845703,8.448783874511719,0.6849090057130789,0.7091335376393633,0.024224531926284376,0.5713733602141701,0.5857711471906887,0.014397786976518612,,,,3.288628578186035,4.7135162353515625,3.801072359085083,3.348090648651123,4.799619674682617,3.8738553524017334,12.773397445678711,0.12178794294595718,60.0,130.0
IG_024332,Impulse Guard,test,unknown,normal_noise,drone,drone,False,10.0,9.999999046325684,data/mixtures/test/clean/IG_024332.wav,data/mixtures/test/noisy/IG_024332.wav,data/enhanced/test/IG_024332.wav,9.984570503234863,6.292703628540039,-3.691866874694824,9.984570503234863,6.292703628540039,-3.691866874694824,0.8613487676064413,0.8935355413034155,0.0321867736969742,0.6216264434733003,0.6958659007385335,0.07423945726523318,,,,3.187241554260254,4.445477485656738,3.6163594722747803,3.846648693084717,4.798322677612305,4.122486114501953,,,,
IG_024333,Impulse Guard,test,unknown,two_normal_plus_impulse,musan+impulsive,musan+impulsive,True,20.0,,data/mixtures/test/clean/IG_024333.wav,data/mixtures/test/noisy/IG_024333.wav,data/enhanced/test/IG_024333.wav,6.393833160400391,8.264045715332031,1.8702125549316406,6.393833160400391,8.264045715332031,1.8702125549316406,0.9387148100590589,0.9419117080198155,0.0031968979607566173,0.864705244308337,0.8630480236486875,-0.001657220659649461,,,,3.7944869995117188,4.767453193664551,4.080970287322998,3.8137001991271973,4.7707839012146,4.092242240905762,2.78762149810791,0.4244392216205597,60.0,1400.0
